:16:08
T:29.9°C -- T2:28.9°C -- HR:70.8 08/09/2021 09:45:32
T:29.8°C -- T2:28.7°C -- HR:72.1 08/09/2021 09:45:53
T:29.6°C -- T2:28.5°C -- HR:72.9 08/09/2021 09:46:14
T:29.8°C -- T2:28.8°C -- HR:70.7 08/09/2021 09:46:35
T:29.7°C -- T2:28.5°C -- HR:72.9 08/09/2021 09:46:56
T:29.6°C -- T2:28.4°C -- HR:73.4 08/09/2021 09:47:17
T:29.7°C -- T2:28.7°C -- HR:70.9 08/09/2021 09:47:38
T:29.7°C -- T2:28.4°C -- HR:72.4 08/09/2021 09:47:59
T:29.6°C -- T2:28.1°C -- HR:74.1 08/09/2021 09:48:20
T:29.6°C -- T2:28.5°C -- HR:71.8 08/09/2021 09:48:41
T:29.6°C -- T2:28.4°C -- HR:71.2 08/09/2021 09:49:02
T:29.6°C -- T2:28.0°C -- HR:73.4 08/09/2021 09:49:23
T:29.5°C -- T2:28.3°C -- HR:71.6 08/09/2021 09:49:44
T:29.5°C -- T2:28.4°C -- HR:71.8 08/09/2021 09:50:05
T:29.3°C -- T2:28.1°C -- HR:74.4 08/09/2021 09:50:26
T:29.4°C -- T2:28.4°C -- HR:72.6 08/09/2021 09:50:47
T:29.7°C -- T2:28.7°C -- HR:70.7 08/09/2021 09:51:08
T:29.6°C -- T2:28.6°C -- HR:71.9 08/09/2021 09:51:29
T:29.6°C -- T2:28.5°C -- HR:74.2 08/09/2021 09:51:50
T:29.6°C -- T2:28.6°C -- HR:75.6 08/09/2021 09:52:11
T:30.0°C -- T2:29.0°C -- HR:72.7 08/09/2021 09:52:32
T:30.3°C -- T2:29.3°C -- HR:70.4 08/09/2021 09:52:53
T:30.1°C -- T2:29.0°C -- HR:72.6 08/09/2021 09:53:14
T:30.1°C -- T2:29.1°C -- HR:72.1 08/09/2021 09:53:35
T:30.3°C -- T2:29.3°C -- HR:70.6 08/09/2021 09:53:56
T:30.1°C -- T2:29.1°C -- HR:72.1 08/09/2021 09:54:17
T:30.0°C -- T2:29.0°C -- HR:73.8 08/09/2021 09:54:38
T:30.0°C -- T2:29.0°C -- HR:74.0 08/09/2021 09:54:59
T:30.2°C -- T2:29.2°C -- HR:71.2 08/09/2021 09:55:20
T:30.2°C -- T2:29.2°C -- HR:70.7 08/09/2021 09:55:41
T:30.0°C -- T2:29.0°C -- HR:72.2 08/09/2021 09:56:02
T:29.9°C -- T2:28.4°C -- HR:80.1 08/09/2021 09:56:23
T:29.6°C -- T2:28.3°C -- HR:89.1 08/09/2021 09:56:44
T:29.5°C -- T2:28.5°C -- HR:92.0 08/09/2021 09:57:05
T:29.5°C -- T2:28.4°C -- HR:92.4 08/09/2021 09:57:26
T:29.5°C -- T2:28.5°C -- HR:91.7 08/09/2021 09:57:47
T:29.7°C -- T2:28.7°C -- HR:89.9 08/09/2021 09:58:08
T:29.9°C -- T2:28.9°C -- HR:87.8 08/09/2021 09:58:29
T:30.1°C -- T2:29.1°C -- HR:85.1 08/09/2021 09:58:50
T:30.2°C -- T2:29.2°C -- HR:82.7 08/09/2021 09:59:11
T:30.4°C -- T2:29.4°C -- HR:80.1 08/09/2021 09:59:32
T:30.4°C -- T2:29.4°C -- HR:77.6 08/09/2021 09:59:53
T:30.5°C -- T2:29.5°C -- HR:75.1 08/09/2021 10:00:14
T:30.5°C -- T2:29.5°C -- HR:72.6 08/09/2021 10:00:35
T:30.5°C -- T2:29.5°C -- HR:71.1 08/09/2021 10:00:56
T:30.2°C -- T2:29.2°C -- HR:73.3 08/09/2021 10:01:17
T:30.1°C -- T2:29.1°C -- HR:73.0 08/09/2021 10:01:38
T:30.2°C -- T2:29.2°C -- HR:70.9 08/09/2021 10:01:59
T:30.0°C -- T2:28.9°C -- HR:73.4 08/09/2021 10:02:20
T:29.9°C -- T2:28.7°C -- HR:74.4 08/09/2021 10:02:41
T:29.9°C -- T2:28.9°C -- HR:72.0 08/09/2021 10:03:02
T:30.0°C -- T2:28.9°C -- HR:71.3 08/09/2021 10:03:23
T:29.7°C -- T2:28.6°C -- HR:74.0 08/09/2021 10:03:44
T:29.8°C -- T2:28.8°C -- HR:72.7 08/09/2021 10:04:05
T:30.0°C -- T2:29.0°C -- HR:70.7 08/09/2021 10:04:26
T:29.9°C -- T2:28.6°C -- HR:73.1 08/09/2021 10:04:47
T:29.9°C -- T2:28.6°C -- HR:73.2 08/09/2021 10:05:08
T:29.9°C -- T2:28.9°C -- HR:70.8 08/09/2021 10:05:29
T:29.9°C -- T2:28.6°C -- HR:72.3 08/09/2021 10:05:50
T:29.8°C -- T2:28.5°C -- HR:73.2 08/09/2021 10:06:11
T:29.9°C -- T2:28.9°C -- HR:70.8 08/09/2021 10:06:32
T:29.9°C -- T2:28.7°C -- HR:72.3 08/09/2021 10:06:53
T:29.7°C -- T2:28.6°C -- HR:73.0 08/09/2021 10:07:14
T:29.9°C -- T2:28.9°C -- HR:70.7 08/09/2021 10:07:35
T:29.9°C -- T2:28.6°C -- HR:72.8 08/09/2021 10:07:56
T:29.8°C -- T2:28.6°C -- HR:73.4 08/09/2021 10:08:17
T:29.9°C -- T2:28.9°C -- HR:70.9 08/09/2021 10:08:38
T:30.0°C -- T2:28.7°C -- HR:72.1 08/09/2021 10:08:59
