T:29.7°C -- T2:28.7°C -- HR:35.5 06/09/2021 14:51:09
T:29.6°C -- T2:28.7°C -- HR:35.5 06/09/2021 14:51:31
T:29.6°C -- T2:28.6°C -- HR:35.4 06/09/2021 14:51:52
T:29.6°C -- T2:28.6°C -- HR:35.3 06/09/2021 14:52:13
T:29.6°C -- T2:28.6°C -- HR:35.1 06/09/2021 14:52:33
T:29.6°C -- T2:28.6°C -- HR:35.0 06/09/2021 14:52:54
T:29.6°C -- T2:28.6°C -- HR:34.8 06/09/2021 14:53:15
T:29.6°C -- T2:28.6°C -- HR:34.7 06/09/2021 14:53:37
T:29.6°C -- T2:28.6°C -- HR:34.8 06/09/2021 14:53:57
T:29.6°C -- T2:28.6°C -- HR:34.9 06/09/2021 14:54:19
T:29.6°C -- T2:28.6°C -- HR:35.2 06/09/2021 14:54:40
T:29.6°C -- T2:28.6°C -- HR:35.4 06/09/2021 14:55:01
T:29.6°C -- T2:28.6°C -- HR:35.5 06/09/2021 14:55:21
T:29.5°C -- T2:28.6°C -- HR:35.5 06/09/2021 14:55:42
T:29.5°C -- T2:28.5°C -- HR:35.4 06/09/2021 14:56:03
T:29.5°C -- T2:28.5°C -- HR:35.3 06/09/2021 14:56:25
T:29.5°C -- T2:28.5°C -- HR:35.2 06/09/2021 14:56:46
T:29.5°C -- T2:28.5°C -- HR:34.9 06/09/2021 14:57:07
T:29.5°C -- T2:28.5°C -- HR:34.8 06/09/2021 14:57:27
T:29.5°C -- T2:28.5°C -- HR:34.7 06/09/2021 14:57:48
T:29.5°C -- T2:28.5°C -- HR:34.9 06/09/2021 14:58:10
T:29.5°C -- T2:28.6°C -- HR:35.1 06/09/2021 14:58:31
T:29.6°C -- T2:28.6°C -- HR:35.3 06/09/2021 14:58:52
T:29.7°C -- T2:28.7°C -- HR:35.4 06/09/2021 14:59:13
T:29.8°C -- T2:28.8°C -- HR:35.3 06/09/2021 14:59:33
T:29.9°C -- T2:28.9°C -- HR:35.0 06/09/2021 14:59:55
T:30.0°C -- T2:29.0°C -- HR:34.8 06/09/2021 15:00:15
T:30.0°C -- T2:29.0°C -- HR:34.6 06/09/2021 15:00:37
T:30.1°C -- T2:29.1°C -- HR:34.6 06/09/2021 15:00:58
T:30.1°C -- T2:29.1°C -- HR:34.6 06/09/2021 15:01:18
T:30.1°C -- T2:29.1°C -- HR:34.8 06/09/2021 15:01:40
T:30.1°C -- T2:29.1°C -- HR:35.0 06/09/2021 15:02:01
T:30.1°C -- T2:29.1°C -- HR:35.2 06/09/2021 15:02:22
T:30.1°C -- T2:29.1°C -- HR:35.4 06/09/2021 15:02:43
T:30.0°C -- T2:29.0°C -- HR:35.4 06/09/2021 15:03:04
T:30.0°C -- T2:29.0°C -- HR:35.3 06/09/2021 15:03:25
T:30.0°C -- T2:29.0°C -- HR:35.1 06/09/2021 15:03:46
T:30.0°C -- T2:29.0°C -- HR:34.9 06/09/2021 15:04:07
T:30.0°C -- T2:29.0°C -- HR:34.7 06/09/2021 15:04:27
T:29.9°C -- T2:29.0°C -- HR:34.7 06/09/2021 15:04:49
T:29.9°C -- T2:28.9°C -- HR:34.7 06/09/2021 15:05:09
T:29.9°C -- T2:28.9°C -- HR:35.0 06/09/2021 15:05:31
T:29.9°C -- T2:28.9°C -- HR:35.2 06/09/2021 15:05:51
T:29.9°C -- T2:28.9°C -- HR:35.3 06/09/2021 15:06:13
T:29.9°C -- T2:28.9°C -- HR:35.3 06/09/2021 15:06:34
T:29.9°C -- T2:28.9°C -- HR:35.2 06/09/2021 15:06:55
T:29.9°C -- T2:28.9°C -- HR:35.1 06/09/2021 15:07:16
T:29.8°C -- T2:28.9°C -- HR:34.8 06/09/2021 15:07:37
T:29.8°C -- T2:28.8°C -- HR:34.7 06/09/2021 15:07:58
T:29.8°C -- T2:28.8°C -- HR:34.7 06/09/2021 15:08:19
T:29.8°C -- T2:28.8°C -- HR:34.7 06/09/2021 15:08:40
T:29.8°C -- T2:28.8°C -- HR:34.9 06/09/2021 15:09:01
T:29.8°C -- T2:28.8°C -- HR:35.2 06/09/2021 15:09:22
T:29.8°C -- T2:28.8°C -- HR:35.4 06/09/2021 15:09:43
T:29.8°C -- T2:28.8°C -- HR:35.4 06/09/2021 15:10:04
T:29.8°C -- T2:28.8°C -- HR:35.3 06/09/2021 15:10:25
T:29.8°C -- T2:28.8°C -- HR:35.1 06/09/2021 15:10:46
T:29.8°C -- T2:28.8°C -- HR:35.0 06/09/2021 15:11:07
T:29.7°C -- T2:28.8°C -- HR:34.8 06/09/2021 15:11:28
T:29.7°C -- T2:28.7°C -- HR:34.6 06/09/2021 15:11:49
T:29.7°C -- T2:28.8°C -- HR:34.7 06/09/2021 15:12:09
T:29.7°C -- T2:28.7°C -- HR:34.8 06/09/2021 15:12:31
T:29.7°C -- T2:28.8°C -- HR:35.0 06/09/2021 15:12:52
T:29.8°C -- T2:28.8°C -- HR:35.3 06/09/2021 15:13:13
T:29.7°C -- T2:28.7°C -- HR:35.5 06/09/2021 15:13:34
T:29.7°C -- T2:28.7°C -- HR:35.5 06/09/2021 15:13:55
T:29.7°C -- T2:28.7°C -- HR:35.3 06/09/2021 15:14:15
T:29.7°C -- T2:28.7°C -- HR:35.1 06/09/2021 15:14:36
T:29.7°C -- T2:28.7°C -- HR:35.0 06/09/2021 15:14:58
T:29.7°C -- T2:28.7°C -- HR:34.7 06/09/2021 15:15:19
T:29.7°C -- T2:28.7°C -- HR:34.6 06/09/2021 15:15:40
T:29.7°C -- T2:28.7°C -- HR:34.7 06/09/2021 15:16:01
T:29.7°C -- T2:28.7°C -- HR:34.8 06/09/2021 15:16:22
T:29.7°C -- T2:28.7°C -- HR:35.0 06/09/2021 15:16:43
T:29.7°C -- T2:28.7°C -- HR:35.3 06/09/2021 15:17:04
T:29.7°C -- T2:28.7°C -- HR:35.3 06/09/2021 15:17:25
T:29.7°C -- T2:28.7°C -- HR:35.3 06/09/2021 15:17:46
T:29.7°C -- T2:28.7°C -- HR:35.2 06/09/2021 15:18:07
T:29.7°C -- T2:28.7°C -- HR:35.0 06/09/2021 15:18:28
T:29.7°C -- T2:28.7°C -- HR:34.8 06/09/2021 15:18:49
T:29.7°C -- T2:28.7°C -- HR:34.6 06/09/2021 15:19:10
T:29.7°C -- T2:28.7°C -- HR:34.6 06/09/2021 15:19:31
T:29.7°C -- T2:28.7°C -- HR:34.8 06/09/2021 15:19:52
